,Run No,Loss,Reg. Loss,Repeat,TS47,TS49,TS16,TS12,Cl*,H*,CH3CH2*,CH2CH2*,ClCH2CH2*,ClCH2CH2Cl*
44,45,99.99999999998768,0.0,0,13.0802132290478,6.439776225166234,0.9729422379057411,7.4118186441913565,-3.0091948022390937,-38.67379374759757,-27.861931179537915,-34.64485574237433,8.771982249461331,0.6420467122001483
45,46,99.89816916416721,0.0,0,-36.83863923388485,-18.10796351556396,3.4270761320476595,-17.59495849318805,-32.03687365899859,1.2326495930860304,-1.4103974840047755,-35.23079018578141,39.6123991839313,-29.435675460031128
46,47,99.99866367492803,0.0,0,19.820572629469346,-9.946264556537724,3.7382716853184093,17.537699943827775,12.487187572024467,7.321997590334078,10.655342128296468,-9.130958151952086,18.251843182687566,6.43526947249687
47,48,99.99998473940107,0.0,0,-34.17750390640383,37.30757442311402,-36.49962302638907,25.03126956736341,-39.94129764367315,-35.297814778959015,-22.08161322322309,24.529391678795633,20.102664395981193,35.96208110637322
48,49,99.99894539793249,0.0,0,-0.07499707833013503,15.731894031697706,-39.518219100107395,14.002126613184444,34.46239009321738,-10.070907997831227,-29.331684483684967,-8.182351446565853,17.001202078020377,-4.6597373990271365
49,50,99.9999999999858,0.0,0,38.05295259742509,14.305890655600201,-26.71118034408003,-38.0842882686194,-3.777437233731632,6.728298599449175,-39.925495915448934,29.970736487160906,-11.33750826731315,-18.311906309536337
50,51,99.99999896833393,0.0,0,24.792564186301647,31.545437181967245,-35.64562316027569,-5.156996449525934,19.03621860889743,-1.5718666233537917,-7.463218865479021,21.735380553647303,31.908332732221538,-10.82289496982682
51,52,99.99693453455309,0.0,0,9.27538735986657,-37.434377604872175,20.264755347134724,-0.26423331039296016,34.328080986526146,13.97429450664329,37.57416804560282,-5.1755853275521275,2.7490744659677873,-23.828552468534486
52,53,99.99999999982276,0.0,0,17.244498269026977,20.674577366068945,21.64816035074309,-1.9389584051830937,-0.6455983955909588,-31.397735133729242,27.215764604873783,-24.100056675709542,-38.28488986456546,18.941357738800654
53,54,17.618931925526603,0.0,0,-35.53106379666187,14.772578805997163,-21.5412830506331,24.467685673877483,14.767695001702478,32.61348310185372,39.5046919450771,4.981876891020967,-23.042059807815743,7.473229746534628
