,Run No,Loss,Reg. Loss,Repeat,N(S),H(S),NH2(S),TS4_N2(S)
34,35,0.06317160479456228,0.006457771301269533,0,20.0,0.457855224609375,1.5426063537597656,-3.8306236267089844
35,36,0.05379847636569547,0.005927246093750001,0,15.342338562011719,0.6412487030029297,1.3387413024902344,-6.386655807495117
36,37,0.022322708902772766,0.007038266658782959,0,20.0,1.1298332214355469,1.0612831115722656,-5.961950302124023
37,38,0.02254533228605125,0.006735924959182739,0,20.0,1.256540298461914,0.9214115142822266,-4.765748023986816
38,39,0.06886710071647885,0.005676076412200925,0,10.392784118652344,-1.0230789184570312,0.10347747802734375,-11.184965133666992
39,40,0.049086013773014914,0.006480401515960692,0,20.0,2.7077579498291016,1.8160457611083984,-1.3978023529052734
40,41,0.05438952429060707,0.006840724229812624,0,17.501075744628906,-0.3177661895751953,0.09453964233398438,-9.449515342712402
41,42,0.09735251846118258,0.008266669750213621,0,13.181159973144531,-1.779581069946289,0.8297748565673828,-17.27616310119629
42,43,0.0982640234409867,0.0066984052658081075,0,9.958091735839844,-0.2681388854980469,-0.4024467468261719,-16.16494369506836
43,44,0.06605259952823905,0.007379963397979739,0,20.0,2.7712631225585938,2.738039016723633,4.010551452636719
44,45,0.08739497341126023,0.0058588004112243635,0,20.0,2.777538299560547,0.17134857177734375,-0.4863147735595703
45,46,0.07662002193832988,0.005238076210021974,0,13.83438491821289,2.7750110626220703,2.206270217895508,2.136638641357422
46,47,0.1267365212551867,0.006266041278839113,0,8.772306442260742,-0.8420333862304688,1.2924041748046875,-14.157421112060547
47,48,0.17060091723384213,0.009016944885253904,0,20.0,1.3409652709960938,5.648555755615234,9.078258514404297
48,49,0.033383065777851634,0.010811094284057621,0,20.0,-1.704538345336914,-1.5398387908935547,-20.0
49,50,0.09765928655888699,0.00984493112564087,0,14.612335205078125,-2.458608627319336,-2.3087806701660156,-20.0
50,51,0.013310823632075369,0.00952441120147705,0,19.032215118408203,-1.405447006225586,-0.8005733489990234,-16.85940933227539
51,52,0.034681080788147,0.010106606960296633,0,20.0,-2.206195831298828,-0.6722316741943359,-17.54800033569336
52,53,0.058713160855521265,0.010055761814117433,0,20.0,-1.2506637573242188,-1.657674789428711,-17.314708709716797
53,54,0.1505615103089756,0.008072836399078373,0,20.0,3.493427276611328,4.835836410522461,3.9620819091796875
54,55,0.6925670402459521,0.004390868186950682,0,3.8292083740234375,1.3718681335449219,4.287197113037109,8.075199127197266
55,56,0.05994919727336336,0.009679214000701908,0,18.287826538085938,-1.3830146789550781,-0.467742919921875,-18.578271865844727
56,57,0.06418466518634684,0.008392590761184695,0,17.740768432617188,0.031169891357421875,-0.5346832275390625,-15.263741493225098
57,58,0.07984495395805563,0.008683445930480958,0,17.902652740478516,-2.3583908081054688,-0.0876312255859375,-14.385108947753906
58,59,0.15279789636759478,0.008977880001068117,0,16.99207305908203,0.5477752685546875,-0.6211719512939453,-17.750499725341797
59,60,0.13307053970534174,0.006263723850250247,0,20.0,0.8266048431396484,2.261524200439453,1.966766357421875
60,61,0.10671646315271623,0.009703565597534177,0,20.0,-3.3425941467285156,0.2806053161621094,-15.191062927246094
61,62,0.0747864161015745,0.00843693542480469,0,20.0,-1.0235176086425781,-0.4804267883300781,-12.243797302246094
62,63,0.05349377716716849,0.009803198337554933,0,15.336719512939453,-3.662759780883789,-0.21331405639648438,-20.0
63,64,0.13728804685796264,0.0100476598739624,0,17.810955047607422,-1.8230438232421875,0.556640625,-20.0
64,65,0.11367097821351572,0.008163107156753538,0,15.657970428466797,-2.2893428802490234,-0.6463069915771484,-14.058808326721191
65,66,0.13280764839989737,0.007255161762237551,0,20.0,3.596353530883789,1.2166004180908203,-4.207693099975586
66,67,0.2508752368872657,0.011826106071472168,0,20.0,-5.1700897216796875,-2.1343345642089844,-20.0
67,68,0.1494867541678776,0.005896206378936766,0,20.0,-0.16196250915527344,2.6691360473632812,0.7537269592285156
68,69,0.07852886363158038,0.0075608265399932885,0,16.447444915771484,0.4975013732910156,-0.08742332458496094,-13.210936546325684
69,70,0.09549506780947263,0.00890343236923218,0,13.791854858398438,-0.3767204284667969,-1.4451541900634766,-20.0
70,71,0.058221996418295306,0.00842972183227539,0,20.0,0.9074687957763672,-0.3883705139160156,-12.42304801940918
71,72,0.028913600313931975,0.007632104873657228,0,16.35259246826172,-1.1150531768798828,0.0396575927734375,-13.021116256713867
72,73,0.04637045686586176,0.008724316358566287,0,20.0,-0.8012580871582031,0.6675357818603516,-13.428471565246582
73,74,0.028827225272209947,0.007627196550369261,0,16.240520477294922,-1.1086959838867188,-0.04541015625,-13.11415958404541
74,75,0.06646265375162738,0.00811564588546753,0,20.0,-0.7073135375976562,-0.35076332092285156,-11.40450668334961
75,76,0.024950635537686984,0.007647951126098636,0,15.977851867675781,-1.0824050903320312,0.06753730773925781,-13.464010238647461
76,77,0.024572758983398217,0.007685835599899294,0,16.064666748046875,-1.0146713256835938,0.1244049072265625,-13.539599418640137
