,N2(T),N(T),TS4_N2(T),N2(S),N(S),TS4_N2(S)
74,6.959,-4.629,-16.88,-11.260619163513184,14.866352081298828,-11.065959930419922
75,6.959,-4.629,-16.88,-19.357749938964844,15.963005065917969,-10.965227127075195
76,6.959,-4.629,-16.88,20.0,20.0,-8.358623504638672
77,6.959,-4.629,-16.88,-20.0,20.0,-11.823485374450684
78,6.959,-4.629,-16.88,20.0,13.188301086425781,-10.24521255493164
79,6.959,-4.629,-16.88,20.0,20.0,-11.919902801513672
80,6.959,-4.629,-16.88,-20.0,16.841476440429688,-11.1496000289917
81,6.959,-4.629,-16.88,4.214008331298828,11.796924591064453,-10.193981170654297
82,6.959,-4.629,-16.88,-12.991729736328125,19.715648651123047,-11.812774658203125
83,6.959,-4.629,-16.88,12.017719268798828,10.573089599609375,-10.909928321838379
84,6.959,-4.629,-16.88,-16.357858657836914,14.792831420898438,-8.87779712677002
85,6.959,-4.629,-16.88,2.6805477142333984,17.630584716796875,-10.946271896362305
86,6.959,-4.629,-16.88,19.833812713623047,19.52130889892578,19.032920837402344
87,6.959,-4.629,-16.88,-16.698522567749023,-2.3681602478027344,-20.0
88,6.959,-4.629,-16.88,-5.0014448165893555,15.600440979003906,-10.397037506103516
89,6.959,-4.629,-16.88,-8.772955894470215,18.910491943359375,-11.506442070007324
90,6.959,-4.629,-16.88,16.124465942382812,3.5229415893554688,-13.267810821533203
91,6.959,-4.629,-16.88,-19.795684814453125,9.51298713684082,-11.055315017700195
92,6.959,-4.629,-16.88,20.0,17.373577117919922,-10.787883758544922
93,6.959,-4.629,-16.88,-19.121307373046875,19.50243377685547,-8.006125450134277
94,6.959,-4.629,-16.88,0.3935413360595703,11.65218734741211,-8.798164367675781
95,6.959,-4.629,-16.88,-18.647085189819336,6.704425811767578,-9.68911075592041
96,6.959,-4.629,-16.88,-16.709842681884766,11.828271865844727,-11.000141143798828
97,6.959,-4.629,-16.88,18.19289779663086,-1.7160072326660156,-14.44693374633789
98,6.959,-4.629,-16.88,16.368133544921875,16.539005279541016,-12.343268394470215
99,6.959,-4.629,-16.88,20.0,17.45111846923828,-10.595237731933594
100,6.959,-4.629,-16.88,3.8126220703125,18.751415252685547,-11.096410751342773
101,6.959,-4.629,-16.88,10.93234634399414,19.953094482421875,-14.51131534576416
102,6.959,-4.629,-16.88,-19.44425392150879,13.997676849365234,-2.682321548461914
103,6.959,-4.629,-16.88,-19.312210083007812,19.39120101928711,-18.81102180480957
