,Run No,Loss,Reg. Loss,Repeat,N2(T),N(T),TS4_N2(T),N2(S),N(S),TS4_N2(S)
26,27,0.846257318154809,0.007361583052536317,1,13.57308667201611,-8.418581926323341,-14.130265673883422,-3.8743993377923687,-2.8839932656650937,1.289171439537566
27,28,0.8862409004589293,0.0074529074431250175,1,13.762920052044311,-7.883107965301672,-14.359191765806656,-3.7194710345278317,-3.7568399014514338,1.235913939618198
28,29,0.8184104737246299,0.007356986515778954,1,14.287143839995732,-7.767088607080316,-14.494047653290185,-4.014827940879583,-2.3748327281230583,1.2039783253048455
29,30,0.6623784859914891,0.0073594750781917255,1,15.512332838683442,-7.660769864094863,-14.976897513840939,-4.155057917936972,0.6321389295257731,1.2196534050683479
30,31,0.7364718526655003,0.007257104821823618,1,15.326863444403031,-8.11553470635384,-14.232229881492893,-3.8650639143905305,-0.7566170579968237,1.2463199263045714
31,32,0.6424681346524902,0.007643673347140607,1,16.16456687523626,-8.075826854654897,-15.459528096525869,-3.8234186568036135,1.056314399436853,1.2823852001861398
32,33,0.4532565840723193,0.008863272225624183,1,18.154180710742487,-8.21991332629214,-16.587931994070914,-3.7544292157772716,5.114101422734551,1.3490766841277235
33,34,0.5095190075117789,0.008312131077289097,1,16.738067335589612,-8.497738946648306,-15.73274831734614,-3.8410301647815484,3.7613391109144625,1.301862588454524
34,35,0.4260135863612777,0.008752190612416647,1,17.39539268884815,-8.332052438419137,-15.562369415598656,-3.8924743065065694,5.902212946971165,1.4286418781561983
35,36,0.30774961656003386,0.010147605065352379,1,19.279543535449804,-8.531497087669244,-16.121527973457155,-3.916706682145385,11.452737687598757,1.583617425793908
36,37,0.32883507485893887,0.009828584039446578,1,19.098438126917184,-8.598237320492238,-16.23467535222383,-4.082758043080194,9.530075510488643,1.4273198834773488
37,38,0.29422991129416987,0.010583394355720636,1,20.0,-8.122648490860204,-17.165071336927205,-3.9972826415782663,12.79525180008688,1.420111864871242
38,39,0.2945824604456387,0.01203357705209784,1,20.0,-7.974681773128637,-18.682474168449097,-4.058724293471215,20.0,1.48558207753808
39,40,0.29071308768887955,0.011204256355040557,1,20.0,-8.428066972331825,-18.040720947795833,-4.050690974042682,15.185165211779845,1.5208940242931268
40,41,0.29822351505964256,0.012388497527237379,1,20.0,-8.58433310532082,-19.944966480947297,-4.143504503868758,20.0,1.6581810732874045
41,42,0.29598736714603163,0.011912870895041155,1,20.0,-9.138597517336454,-18.317327793432753,-3.725907989198144,18.647417985008605,1.6479740852709432
42,43,0.2987080948408013,0.012103491420825245,1,20.0,-8.515247958345727,-18.423003481956425,-4.0015616838257655,20.0,1.6811354008235733
43,44,0.3000458562012354,0.012164362737245854,1,20.0,-8.891518456053092,-18.17951030119349,-4.170540122179541,20.0,1.7446075440489905
44,45,0.3006245190973283,0.012239266497645007,1,20.0,-8.610954840373278,-19.181045259363792,-3.871471987909735,20.0,1.7721268982232465
45,46,0.2986556742899104,0.012400881992485568,1,20.0,-8.704180990764282,-20.0,-4.02244511743266,20.0,1.6786658467164668
46,47,0.2892246564841136,0.01121715275447466,1,20.0,-8.655798621523914,-17.527499361071442,-4.118004188175952,15.54261166562511,1.4590026904515345
47,48,0.28922831924397685,0.01070609588288949,1,20.0,-8.67822051209923,-16.700726411925267,-4.24127028830906,13.313917498437661,1.3024405865656785
