,Run No,Loss,Repeat,EDH_prefactor,EDH_Ea,Hyd_prefactor,Hyd_Ea,RWGS_prefactor,RWGS_Ea
142,143,0.3172964078517868,0,6.5078074062186655,149.11572169163355,9.0,116.26734697375124,7.06610855660205,58.20980858728123
143,144,0.31761661464350555,0,6.516425762935289,149.34562148116441,9.0,116.26375235225444,7.06159140167089,58.14365974490224
144,145,0.3173082448199006,0,6.50445848405599,149.59885313762734,8.999146273717436,116.06800607223636,7.065057507967532,58.01183635687394
145,146,0.3164898772467366,0,6.512211692677213,149.53230070679717,8.997258246292105,116.05018480363806,7.069262130501622,58.090046755567954
146,147,0.3159050804917196,0,6.515611510763149,149.45244092662585,8.995887369438158,115.98175308901833,7.076854024056658,58.15472974971894
147,148,0.3157651477600605,0,6.514403088439506,149.27385708967165,9.0,116.17260535785681,7.072364857916183,58.22919556237274
148,149,0.31522261280856734,0,6.518445446035223,148.99780656207975,9.0,116.2369535211609,7.07982467787582,58.391377639671276
149,150,0.31476119279286463,0,6.511137863006187,149.11659880972633,8.997308352382138,116.0672662576311,7.081071262941659,58.283201376255946
150,151,0.3132617491191986,0,6.510807264249355,148.80646623502923,8.995962528573209,116.01531214699867,7.093351754813725,58.43182026171533
151,152,0.31510682390171696,0,6.518124700055848,148.82803776029937,9.0,116.26731042856684,7.078654781235599,58.38345155746225
152,153,0.3145884480723914,0,6.508576233159059,149.03057368734784,8.996998723909602,115.98691986946969,7.090284182134068,58.341962550273664
153,154,0.31228195165666395,0,6.521916095072717,148.58791554745844,8.997136600256223,116.15563741523223,7.095226967226273,58.58382800276853
154,155,0.31003904537009497,0,6.5306449005810805,148.08244675237398,8.996131763525618,116.19945308673016,7.110311696855643,58.86982382571583
155,156,0.3095398453503334,0,6.526511435157757,148.28760975737674,8.994993461815529,116.04655264012347,7.1145430335249635,58.77407054143315
156,157,0.3054458214583544,0,6.535987861174894,147.70892419412746,8.992490192723295,115.97848825658949,7.140872547554675,59.11928015210674
157,158,0.30880716249011675,0,6.525250624322002,147.69897747046002,8.997973700139081,116.24639268082024,7.120912522766519,59.024508912596076
158,159,0.30655767959219593,0,6.524685081812189,147.72066880446624,8.993185636290267,115.99433863523078,7.131637817244256,58.99890478028536
159,160,0.3054967299884222,0,6.527192621710345,147.5213146209689,8.990914181720356,115.87299113004619,7.1504687258873645,59.21198193676874
160,161,0.30094760529852826,0,6.542946551457564,146.8156923384608,8.991887277081005,116.11540544266882,7.158900839573327,59.54347740612238
161,162,0.29415341345717294,0,6.560131710606816,145.70825166401727,8.989331553666709,116.17964822926837,7.193209168292956,60.14423483404673
162,163,0.29491511766385303,0,6.557157002486422,146.007061600442,8.99071314744857,116.14179185922976,7.189119071386747,60.024424552124486
163,164,0.2940174302416546,0,6.546156733456476,146.03928603245333,8.98873770713714,115.93843051033141,7.19842825418853,59.97128789692685
164,165,0.2859696968311547,0,6.553912649894173,145.01770567249298,8.985040678942902,115.80791922213206,7.242486532854972,60.52201993253237
165,166,0.28910007556795597,0,6.56110501823961,145.52899804837824,8.982584763458284,115.74533309667865,7.228352098307139,60.31577315002541
166,167,0.2814476906997361,0,6.573810539558565,144.77674979567604,8.98383920302977,115.91438529608408,7.249864897517032,60.780333405582795
167,168,0.265279771801514,0,6.598373268431754,143.30479029128094,8.979165986399522,115.87440862651073,7.308978437653419,61.671047718231506
168,169,0.27051454029501526,0,6.59502988190088,143.57059586927738,8.982194592492736,116.03620530009016,7.2838705594626045,61.38694484292034
169,170,0.2530347723665517,0,6.605915316011657,142.0035435211688,8.977186714746278,115.94994718804708,7.341132741764607,62.23553485785355
170,171,0.21844487778685562,0,6.64087904343004,139.15085318468948,8.969534975757767,115.93567665377589,7.441262838869573,63.79366221072695
171,172,0.2436765710913106,0,6.612653521681336,141.42000330960343,8.971904369457405,115.71793851692223,7.3769341404268065,62.58680301070329
172,173,0.23031492239810253,0,6.6271860839191135,140.2893971278902,8.96747690183616,115.52617890943489,7.434085700898551,63.28118212099989
173,174,0.21067968892200276,0,6.648239798179489,138.72211710336654,8.969187738170547,115.8874426462767,7.467520638414836,64.09811346201272
174,175,0.17848790010483112,0,6.691807188149429,135.3186766308607,8.962489225526678,115.95849742107572,7.587104908468685,65.98928361800637
175,176,0.18081936273644542,0,6.701397012610009,136.0003997987077,8.95921467154719,115.87504925380446,7.568258995738242,65.71428790799706
176,177,0.16502515097743026,0,6.695735490839681,134.9241109117334,8.954400784348842,115.59304449375114,7.621671114555818,66.29181068596802
177,178,0.14723093618353278,0,6.746088295309082,130.60086843296142,8.940503880276893,115.37146409058164,7.790571392102425,68.74424360749185
178,179,0.15181781440400602,0,6.741630446601251,130.95527587029005,8.94454202173451,115.58719298868752,7.757094221181342,68.36543977374362
