,Run No,Loss,Reg. Loss,Repeat,TS12,TS16,TS47,TS49,Cl*,H*,CH3CH3*,CH3CH2*,ClCH2CH2Cl*,ClCH2CH2*,CH2CH2*
50,51,97.7347832936342,0.809064942402769,0,-5.334547991960585,-10.760176389369542,7.184849140645326,-7.032454392218459,6.0004060442615526,30.26412168218897,16.850242978737562,-37.94485845994159,18.689134126546676,17.01112738039564,0.4923224359073153
51,52,51.88108288843265,1.4360995789504793,0,26.54596810808058,36.50865349652754,-38.038222175780014,-17.224710055608234,11.987076195835735,-1.92336689002774,-12.05301576892678,-14.20418262920856,-25.033806043491317,34.330346124644215,15.426714569027311
52,53,85.25448569371645,1.6575913504854243,0,3.7132057843256394,3.2905932119325865,-35.10442693216276,-0.7487207369829196,33.97815732306343,1.9811536236680816,-37.02042472835296,-35.20704159013194,-29.739481600279504,30.5258816002312,-21.240308039247246
53,54,97.96240534631282,1.0361995852826063,0,-22.875821748587878,-17.108874020803864,-5.018924626709631,14.343222812959997,6.793637410221898,18.360333655354182,-10.29247422965112,-14.37924736054705,-24.88942563177257,36.336644808463205,-29.60667717597623
54,55,98.30437629404868,1.3781523071252557,0,10.644471615236801,37.55074620930843,31.081400184062282,22.596570475864752,-33.44063503127353,-20.37835961817911,2.81259912303355,-23.311859441281797,-3.272534193009169,-13.527359787422109,28.02217587041886
55,56,98.50236803434144,1.5769141220649927,0,-3.330047715563187,-25.46889109693521,28.487103802147445,37.61734207430454,-1.0748215338519707,26.617742242028974,-26.619904260413026,-24.766488170719274,-23.831406645351656,-30.727546368954883,-22.545803749963895
56,57,97.72298046407597,0.8117505329087237,0,22.440392127527726,-8.845484747897912,-7.995104419487529,-5.516441329659978,0.9900738552583821,-7.557477220583495,-29.597396727655827,2.99605497144956,-22.99769012028191,24.776341604023955,-28.455173960833335
57,58,98.40133375622175,1.4751084770670144,0,25.352520702094363,3.3082687839856018,-0.23019935879620146,-14.265852570781465,32.12419471590792,-23.93440530408816,-14.623785729693042,22.186379268414782,39.1050265926712,37.91553009381233,-18.855081671990305
58,59,96.67157201001338,1.6659554134400765,0,26.825758898014726,22.860927169662702,13.166525385366485,-13.384558869034473,37.107074153879154,28.181278710128925,10.873191729058576,37.882215220115285,-10.017826858904485,38.80683232252351,20.117694712373257
59,60,42.987031277994646,0.9292666333623025,0,27.931825741051206,3.292777476175761,-24.400770469331086,-5.7223293376063955,28.915963167912302,15.730170889220378,-3.257135833381679,-4.383932717392978,32.25894350284997,-12.10901675306312,19.207668698391387
