t(s),CH3CH3*,CH2CH2*,ClCH2CH2Cl*,CH3CH2*,ClCH2CH2*,H*,Cl*,TS12,TS16,TS47,TS49,PtCu111(*)
6.40000000e-09,-5.65413614e-14,-8.25284296e-12,4.26264660e-03,2.51870966e-16,8.10789821e-15,-4.11204857e-03,6.99977793e-11,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,-1.50598091e-04
6.85000000e-09,-2.02363110e-14,-7.01759408e-12,4.18041747e-03,2.45241828e-16,1.08746959e-14,-4.09810259e-03,7.04328597e-11,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,-8.23149447e-05
7.30000000e-09,6.38288034e-15,-5.88365785e-12,4.11530708e-03,2.39568442e-16,1.15864015e-14,-4.07741296e-03,7.09798168e-11,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,-3.78941869e-05
7.75000000e-09,-1.05096059e-15,-4.85661703e-12,4.06146556e-03,2.34761822e-16,1.06688020e-14,-4.05245947e-03,7.15994694e-11,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,-9.00615924e-06
8.20000000e-09,-5.80678871e-16,-3.93777902e-12,4.01508134e-03,2.30732481e-16,1.10567513e-14,-4.02484011e-03,7.22633295e-11,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,9.75870153e-06
8.65000000e-09,8.15894322e-16,-3.11954460e-12,3.97366812e-03,2.27394396e-16,1.06501295e-14,-3.99558928e-03,7.29566439e-11,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,2.19210883e-05
9.10000000e-09,-1.18452080e-15,-2.39556809e-12,3.93560280e-03,2.24667439e-16,1.05771871e-14,-3.96537827e-03,7.36671694e-11,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,2.97753993e-05
9.55000000e-09,-5.45966930e-17,-1.75724453e-12,3.89982494e-03,2.22478275e-16,1.05438022e-14,-3.93464324e-03,7.43878709e-11,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,3.48182265e-05
1.00000000e-08,-3.43428621e-17,-1.19604300e-12,3.86564132e-03,2.20760699e-16,1.04564487e-14,-3.90366749e-03,7.51140116e-11,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,3.80260975e-05
1.45000000e-08,6.29714505e-19,1.67404888e-12,3.55932662e-03,2.19333971e-16,9.62985944e-15,-3.60135681e-03,8.23056734e-11,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,4.20301065e-05
1.90000000e-08,1.85766437e-18,2.33210864e-12,3.28387016e-03,2.29351242e-16,8.88451921e-15,-3.32365919e-03,8.91469332e-11,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,3.97889331e-05
2.35000000e-08,4.02975129e-17,2.40461319e-12,3.03216882e-03,2.41285809e-16,8.20346999e-15,-3.06969264e-03,9.56175760e-11,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,3.75237244e-05
2.80000000e-08,1.14450766e-17,2.32646020e-12,2.80177330e-03,2.52781252e-16,7.58008011e-15,-2.83710763e-03,1.01730561e-10,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,3.53342319e-05
3.25000000e-08,1.83120844e-19,2.21233758e-12,2.59058581e-03,2.63326211e-16,7.00867101e-15,-2.62381673e-03,1.07499729e-10,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,3.32308108e-05
3.70000000e-08,2.28940076e-17,2.09265502e-12,2.39675835e-03,2.72873170e-16,6.48424029e-15,-2.42797762e-03,1.12939202e-10,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,3.12191536e-05
4.15000000e-08,2.61050697e-17,1.97538157e-12,2.21865623e-03,2.81486048e-16,6.00236322e-15,-2.24795869e-03,1.18063245e-10,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,2.93023375e-05
4.60000000e-08,2.36211792e-18,1.86260467e-12,2.05482830e-03,2.89249022e-16,5.55911190e-15,-2.08231007e-03,1.22886153e-10,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,2.74816446e-05
