run_no,time(s),Temperature(K),Pressure(atm),y_C2H6,y_C2H4,y_CH4,y_H2,y_CO2,y_CO,y_H2O
run_1,1.0,848.0,1.0,0.0004754077028507257,2.4174151377266712e-05,8.362915440151677e-07,2.3121450249553154e-05,0.000499365444644294,6.345553557059782e-07,6.345553557059782e-07
run_1,2.0,848.0,1.0,0.00045170447209083456,4.697531201840544e-05,2.640431781519937e-06,4.355889657419727e-05,0.0004979038004465519,2.0961995534482044e-06,2.0961995534482044e-06
run_1,3.0,848.0,1.0,0.0004290218983235264,6.824106079734317e-05,5.474081758261007e-06,6.105121088355436e-05,0.0004955471909653418,4.452809034658296e-06,4.452809034658296e-06
run_1,4.0,848.0,1.0,0.000407547453690508,8.792863782814391e-05,9.047816962696218e-06,7.587592307916949e-05,0.0004924711937323738,7.528806267626321e-06,7.528806267626321e-06
run_1,5.0,848.0,1.0,0.0003874431581895453,0.00010600108851819075,1.3111506584527983e-05,8.827288423234747e-05,0.0004888275490064208,1.117245099357929e-05,1.117245099357929e-05
run_1,6.0,848.0,1.0,0.0003687084718389005,0.00012244439583272915,1.7694264656740727e-05,9.818884305029285e-05,0.0004845915795459341,1.5408420454065934e-05,1.5408420454065934e-05
run_1,7.0,848.0,1.0,0.0003513536547338586,0.0001375248949126695,2.2242900706943866e-05,0.00010663561771129451,0.00048023217315209697,1.976782684790308e-05,1.976782684790308e-05
run_1,8.0,848.0,1.0,0.0003353677706120598,0.00015111099138881515,2.7042475998250252e-05,0.0001130996188685601,0.00047550986547887015,2.4490134521129907e-05,2.4490134521129907e-05
run_1,9.0,848.0,1.0,0.00032065983326667153,0.00016336995394317368,3.194042558030978e-05,0.0001179895075404829,0.00047058976638746417,2.9410233612535883e-05,2.9410233612535883e-05
run_1,10.0,848.0,1.0,0.0003071404685079204,0.00017446734093034858,3.67843811234622e-05,0.00012171135300470292,0.0004656362026360855,3.436379736391454e-05,3.436379736391454e-05
run_2,0.0,861.0,1.0,0.0005,0.0,0.0,0.0,0.0005,0.0,0.0
run_2,1.0,861.0,1.0,0.00046803003728520235,3.1299461965567044e-05,1.3410014984612047e-06,2.968525897973255e-05,0.000499056297763396,9.437022366038709e-07,9.437022366038708e-07
run_2,2.0,861.0,1.0,0.0004375393598804566,6.0345170484572144e-05,4.2309392699423755e-06,5.509875905435506e-05,0.000496869058204754,3.1309417952458713e-06,3.1309417952458713e-06
run_2,3.0,861.0,1.0,0.00040880091914937815,8.688304449073522e-05,8.632072719773243e-06,7.597848428729482e-05,0.0004934114761564461,6.588523843553778e-06,6.588523843553777e-06
run_2,4.0,861.0,1.0,0.00038217588079260926,0.00011087493741919668,1.389836357638812e-05,9.296271080669819e-05,0.0004890369551756955,1.0963044824304431e-05,1.0963044824304431e-05
run_2,5.0,861.0,1.0,0.00035771459016810695,0.0001323442366617266,1.9882346340332936e-05,0.00010624213745642573,0.0004838390739648655,1.6160926035134372e-05,1.6160926035134372e-05
run_2,6.0,861.0,1.0,0.00033543483321715864,0.00015156800985461505,2.59943138564526e-05,0.00011683673341614409,0.0004782658804897553,2.1734119510244636e-05,2.1734119510244636e-05
