run_no,time(s),Temperature(K),Pressure(atm),y_C2H6,y_C2H4,y_CH4,y_H2,y_CO2,y_CO,y_H2O
2,2.0,861.0,1.0,0.002912105333179777,0.00028545394959118104,0.003604881434458081,0.0019592706146682,0.0034762573823060605,0.0015237426176939394,0.0015237426176939394
2,3.0,861.0,1.0,0.0024714218330256976,0.000337560464096033,0.004382035405756535,0.0016577198542666919,0.003511177093048929,0.0014888229069510716,0.0014888229069510716
2,4.0,861.0,1.0,0.0021517374189560547,0.0003678412908073534,0.00496084258047318,0.001463691663444213,0.003576271662873452,0.0014237283371265489,0.0014237283371265489
2,5.0,861.0,1.0,0.0019070077647521375,0.0003857188076930377,0.005414546855109645,0.0013172483853105986,0.0036388030051723863,0.001361196994827615,0.001361196994827615
2,6.0,861.0,1.0,0.0017131343839035735,0.00039630591057789234,0.005781119411037064,0.0011999661784428339,0.0036942199733834766,0.0013057800266165246,0.0013057800266165246
2,7.0,861.0,1.0,0.0015553479227455528,0.0004025057621098964,0.006084292630289097,0.0011033797936455007,0.003743020346680156,0.0012569796533198456,0.0012569796533198456
2,8.0,861.0,1.0,0.0014244648723436405,0.0004059166879558908,0.006339236879400933,0.0010224377993822533,0.0037861395511268317,0.0012138604488731695,0.0012138604488731695
2,9.0,861.0,1.0,0.0013135626838708637,0.0004075784141917388,0.006557717803874791,0.0009534324461969139,0.003824712933942573,0.001175287066057428,0.001175287066057428
2,10.0,861.0,1.0,0.001219017660714018,0.00040798385809021195,0.006745996962391535,0.0008942948752132668,0.0038593094983188254,0.0011406905016811757,0.0011406905016811757
3,0.0,873.0,1.0,0.005000000000000001,0.0,0.0,0.005,0.005,0.0,0.0
3,1.0,873.0,1.0,0.0033624008894442754,0.00024228701935437332,0.0027906241824027034,0.0024384528918237653,0.0035914779636707444,0.0014085220363292568,0.0014085220363292568
3,2.0,873.0,1.0,0.002636496854693327,0.00035480657579060605,0.0040173931390321375,0.0018041203118515348,0.0034580103055769982,0.0015419896944230034,0.0015419896944230034
3,3.0,873.0,1.0,0.0021803105902702857,0.0004161199412608765,0.0048071389369376775,0.0015254607265457647,0.003512910253753728,0.0014870897462462736,0.0014870897462462736
3,4.0,873.0,1.0,0.001859327849894378,0.00044999590089090757,0.00538135249842943,0.001344377092327865,0.0035850574406516736,0.0014149425593483276,0.0014149425593483276
3,5.0,873.0,1.0,0.001620518513525468,0.00046848352124476144,0.005821995930459543,0.0012076135331392632,0.0036501279771242734,0.0013498720228757276,0.0013498720228757276
3,6.0,873.0,1.0,0.001435758244965584,0.00047816081766360923,0.006172161874741616,0.0010986771270101105,0.00370659724671731,0.0012934027532826914,0.0012934027532826914
