,DRC-Expt-0,DRC-Expt-1,DRC-Expt-2,DRC-Expt-3,DRC-Expt-4,mean_DRC,min_DRC,max_DRC
HCl+2PtCu111(*)=H*+Cl*,-0.0020371013950973922,0.019298603908166435,-0.001587825071999455,5.816360202487718e-05,0.02477690387322304,0.0081017489832635,-0.0020371013950973922,0.02477690387322304
CH3CH3*+PtCu111(*)=TS12=CH3CH2*+H*,-0.8671019217174726,-1.8838005904665125,-2.6848431226120395,-3.6008976797722547,-4.706642254125675,-2.7486571137387905,-4.706642254125675,-0.8671019217174726
CH3CH2Cl*+PtCu111(*)=TS13=ClCH2CH2*+H*,0.001203741533212767,0.01674635451918805,0.0002352333097868918,-0.0010469449075056155,-0.04265950863380753,-0.005104224835825088,-0.04265950863380753,0.01674635451918805
CH3CH2Cl*+PtCu111(*)=TS14=CH3CHCl*+H*,-0.0009259551020720952,0.013656788515701285,0.0007057000004185017,-0.0010275569927921057,-0.02147336626954059,-0.0018128779696570004,-0.02147336626954059,0.013656788515701285
ClCH2CH2Cl*+PtCu111(*)=TS15=ClCH2CHCl*+H*,0.6149078596774131,1.2918944062981814,1.8726936081585503,2.6046534466490097,3.1077655445563153,1.898382973067894,0.6149078596774131,3.1077655445563153
CH3CH2*+PtCu111(*)=TS16=CH2CH2*+H*,-0.07805831735624728,-0.06406028876539106,-0.24199921550812406,-0.37025696214290976,-0.12675816394265452,-0.17622658954306533,-0.37025696214290976,-0.06406028876539106
CH3CH2*+PtCu111(*)=TS17=CH3CH*+H*,0.0004629775510360476,0.007806013657871444,5.880838074009263e-05,0.0001551029624189479,-0.001077258034059889,0.0014811289036013287,-0.001077258034059889,0.007806013657871444
CH3CHCl*+PtCu111(*)=TS18=CH2CHCl*+H*,0.0008333595065954942,0.00613436301836658,-0.0002940416194691582,0.0003489816121492631,0.010844391592960901,0.0035734108221206163,-0.0002940416194691582,0.010844391592960901
CH3CHCl*+PtCu111(*)=TS19=CH3CCl*+H*,0.0004629775510360476,0.00641794663120244,-0.0017642501431619066,0.00017449080607463154,-0.015727979476585798,-0.002087362926286917,-0.015727979476585798,0.00641794663120244
ClCH2CH2*+PtCu111(*)=TS20=CH2CHCl*+H*,0.001481528035411265,0.028403114142066394,-0.0005292750003138763,0.0012602113298337881,0.010772574442799313,0.008277630589959378,-0.0005292750003138763,0.028403114142066394
ClCH2CH2*+PtCu111(*)=TS21=ClCH2CH*+H*,-0.001388932724165969,0.026552361896258453,-0.001470208381577096,-0.00042653305782982393,0.021760588398368582,0.009005455226210829,-0.001470208381577096,0.026552361896258453
ClCH2CHCl*+PtCu111(*)=TS22=ClCHCHCl*+H*,0.0024074829243098815,0.018283674388500273,0.0007645083101007681,-0.0014540901216797558,-0.01888794182899867,0.00022272673444649962,-0.01888794182899867,0.018283674388500273
ClCH2CHCl*+PtCu111(*)=TS23=ClCH2CCl*+H*,-0.00037038202661727283,0.013238876193349744,-0.001352591691154737,-0.00019387864973031518,-0.04151042854659604,-0.006037680944149725,-0.04151042854659604,0.013238876193349744
CH2CH2*+PtCu111(*)=TS24=CH2CH*+H*,0.016574582101313694,0.038597170653089756,0.05133954236548442,0.08491849968795126,0.018457003754405166,0.041977359712448856,0.016574582101313694,0.08491849968795126
CH2CHCl*+PtCu111(*)=TS25=CH2CCl*+H*,-0.0004629775510360476,-0.0010447824046799432,0.001823058168612868,0.00046530881619901744,0.012065282577245264,0.0025691779212682316,-0.0010447824046799432,0.012065282577245264
CH2CHCl*+PtCu111(*)=TS26=ClCHCH*+H*,0.000925955031014269,0.0032686756393242055,0.0007057000004185017,0.00040714521417414026,-0.00043090318520082517,0.0009753145399460583,-0.00043090318520082517,0.0032686756393242055
ClCHCHCl*+PtCu111(*)=TS27=ClCHCCl*+H*,0.0008333595065954942,0.015373214183728329,0.0002352333097868918,-0.0005622481765930881,0.022263307738921427,0.00762857331248781,-0.0005622481765930881,0.022263307738921427
CH3CH*+PtCu111(*)=TS28=CH2CH*+H*,-0.01500048348278066,0.0005970184763554954,-0.0505164850357093,-0.08371716282263596,-0.023915156622932813,-0.03451045389754065,-0.08371716282263596,0.0005970184763554954
CH3CH*+PtCu111(*)=TS29=CH3C*+H*,-0.00018519104883754953,-0.002000012123175953,-0.0002940416194691582,-0.00036836945580494675,-0.020108836579347825,-0.004591290165327087,-0.020108836579347825,-0.00018519104883754953
ClCH2CH*+PtCu111(*)=TS30=ClCHCH*+H*,-0.0020371013950973922,-0.0007761240618968396,-0.0005880833099961427,-0.0009500055471115447,-0.017020691234980886,-0.004274401109816561,-0.017020691234980886,-0.0005880833099961427
ClCH2CH*+PtCu111(*)=TS31=ClCH2C*+H*,0.000925955031014269,0.002179117211312514,-0.001823058452844173,-0.00023265440809950872,-0.038422276593851265,-0.007474583442493634,-0.038422276593851265,0.002179117211312514
CH3CCl*+PtCu111(*)=TS32=CH2CCl*+H*,-0.0019445058706786178,-0.0007761240618968396,-0.001823058452844173,-0.0012795993156051243,0.01809791842994419,0.0024549261457838868,-0.0019445058706786178,0.01809791842994419
ClCH2CCl*+PtCu111(*)=TS33=ClCHCCl*+H*,0.0002777865021984981,0.0139552973985899,0.0009409333102053935,-0.0007173510679542098,-0.020970644797252958,-0.0013027957308426748,-0.020970644797252958,0.0139552973985899
CH3C*+PtCu111(*)=TS34=CH2C*+H*,-0.00037038202661727283,0.00043283837404038623,-0.0011173583813678452,-0.001221435713580247,-0.03799137170326261,-0.008053541890157518,-0.03799137170326261,0.00043283837404038623
ClCH2C*+PtCu111(*)=TS35=ClCHC*+H*,-0.00018519104883754953,0.021283686355704406,-0.0008233166908408607,-0.000504084574568211,-0.036483204870433626,-0.0033424221657951682,-0.036483204870433626,0.021283686355704406
CH2CH*+PtCu111(*)=TS36=CHCH*+H*,-0.0007407640532345457,0.0001791055144835181,0.00035285000020925084,-0.00021326649338599885,0.02369964846830272,0.004655514687274989,-0.0007407640532345457,0.02369964846830272
CH2CH*+PtCu111(*)=TS37=CH2C*+H*,-0.00101855062649087,0.00929855856971931,0.0007057000004185017,-0.0009112297887423512,0.029373192317105005,0.00748953409440192,-0.00101855062649087,0.029373192317105005
ClCHCH*+PtCu111(*)=TS38=CHCCl*+H*,-0.0008333595776533205,0.026641914440326733,-0.001823058452844173,-0.0005622481765930881,0.015368869352943466,0.007758423517235924,-0.001823058452844173,0.026641914440326733
ClCHCH*+PtCu111(*)=TS39=ClCHC*+H*,-0.001388932724165969,0.007955268134844665,-0.0019994834529487985,0.00046530881619901744,-0.0269314868067573,-0.004379865206565677,-0.0269314868067573,0.007955268134844665
CH2CCl*+PtCu111(*)=TS40=CHCCl*+H*,-0.00037038202661727283,0.0018507571487979483,-0.0008821250005231271,-0.0014540901216797558,-0.025064234720525165,-0.0051840149441094744,-0.025064234720525165,0.0018507571487979483
ClCHCCl*+PtCu111(*)=TS41=ClCCCl*+H*,-0.00018519104883754953,0.006104512122971936,-0.0005880833099961427,5.816360202487718e-05,0.006104460321816614,0.0022987723375959466,-0.0005880833099961427,0.006104512122971936
