,DRC-Expt-0,DRC-Expt-1,DRC-Expt-2,DRC-Expt-3,DRC-Expt-4,mean_DRC,min_DRC,max_DRC
CH3CH2Cl*+PtCu111(*)=TS14=CH3CHCl*+H*,-0.0003703912857067757,-0.0065061548528917565,0.0001764426417225844,-0.0004362348054723352,-0.005027783296498755,-0.0024328243197694077,-0.0065061548528917565,0.0001764426417225844
ClCH2CH2Cl*+PtCu111(*)=TS15=ClCH2CHCl*+H*,0.6131367731774524,1.2684348802359922,1.872775333754153,2.605870799969515,3.127847086271696,1.8976129746817616,0.6131367731774524,3.127847086271696
CH3CH2*+PtCu111(*)=TS16=CH2CH2*+H*,-0.07759118240906004,-0.08695751307864863,-0.24148437972508077,-0.37006682272807256,-0.15034026010044926,-0.18528803160826227,-0.37006682272807256,-0.07759118240906004
CH3CH2*+PtCu111(*)=TS17=CH3CH*+H*,-9.256308208370714e-05,0.004261182109641488,-0.0008820337455852226,1.4177388709123566,0.017701149349143755,0.28774532110869455,-0.0008820337455852226,1.4177388709123566
CH3CHCl*+PtCu111(*)=TS18=CH2CHCl*+H*,-0.0002777170590449904,0.001544936832623987,-1.4701345930662364e-08,0.0003780430569187712,-0.007934450123957082,-0.001257840398961049,-0.007934450123957082,0.001544936832623987
CH3CHCl*+PtCu111(*)=TS19=CH3CCl*+H*,2.3147720204378178e-08,0.002537394726447289,-0.0015877544700022587,0.0007948318580377828,0.008472816532376333,0.0020434623589158703,-0.0015877544700022587,0.008472816532376333
ClCH2CH2*+PtCu111(*)=TS20=CH2CHCl*+H*,-4.62190244410165e-05,0.010388484290155361,0.0009408129012531505,0.0017351037401722366,0.00919221972456502,0.00444208032634095,-4.62190244410165e-05,0.010388484290155361
ClCH2CH2*+PtCu111(*)=TS21=ClCH2CH*+H*,-9.265570849343772e-05,0.005224705806393509,-0.001528937232927826,0.00010660129384016461,0.0225853411757502,0.0052590110669125225,-0.001528937232927826,0.0225853411757502
ClCH2CHCl*+PtCu111(*)=TS22=ClCHCHCl*+H*,0.0006482240122807508,0.006619686949064447,0.001264291018534437,-0.0008627465732444244,0.010483349356559072,0.003630560952638857,-0.0008627465732444244,0.010483349356559072
ClCH2CHCl*+PtCu111(*)=TS23=ClCH2CCl*+H*,0.00018515397695773047,-0.00722998659903368,0.0003527471618206934,6.784104499176279e-05,-0.03177804022191842,-0.0076804569274363825,-0.03177804022191842,0.0003527471618206934
CH2CH2*+PtCu111(*)=TS24=CH2CH*+H*,0.015925662380991832,0.017022680466946313,0.05163112102463383,0.08444934822011865,0.03156146800424521,0.04011805601938717,0.015925662380991832,0.08444934822011865
CH2CHCl*+PtCu111(*)=TS25=CH2CCl*+H*,-9.260941304947633e-05,-0.009648390338874246,0.0017347634831198114,0.0005331362903609757,-0.009298774510926377,-0.0033543748978738623,-0.009648390338874246,0.0017347634831198114
