,Run No,Loss,Repeat,a,b
10,11,612.5890120384597,1,2.258947943092574,77.68676495761287
11,12,937.2642815441875,1,2.517302693182341,65.91604299433806
12,13,285.74653054702094,1,2.4245599623808864,89.45748692088767
13,14,547.2199641787003,1,2.2920703469502364,80.04090935026784
14,15,235.70940925350763,1,2.371564116208627,108.29064206212735
15,16,756.4908622058181,1,2.2125765776918476,127.12379720336702
16,17,25.647440797591486,1,2.371564116208627,98.87406449150751
17,18,26.095594590455743,1,2.265572423864107,98.87406449150751
18,19,286.0188148978296,1,2.371564116208627,89.45748692088767
19,20,104.94195071748955,1,2.2920703469502373,103.58235327681743
20,21,155.7803470413332,1,2.3450661931224968,94.16577570619759
21,22,39.97895352117177,1,2.305319308493302,101.22820888416247
22,23,90.69590909146989,1,2.331817231579432,96.51992009885255
23,24,8.551985015518,1,2.3119437892648342,100.051136687835
24,25,9.272972462387358,1,2.417935481609354,100.051136687835
25,26,40.27772932105011,1,2.3583151546655614,101.22820888416248
26,27,10.169844815963767,1,2.3682518758228603,99.46260058967125
27,28,24.200756850201095,1,2.361627395051328,100.63967278599874
28,29,5.011536982150462,1,2.3665957556299775,99.75686863875313
29,30,4.667030401697685,1,2.2606040632854576,99.75686863875313
30,31,7.088773193405204,1,2.18193835412351,99.60973461421219
31,32,10.298491736386122,1,2.315256029650601,99.46260058967127
32,33,5.625621490181064,1,2.312771849361276,99.90400266329407
33,34,6.936056424009676,1,2.314427969554159,99.6097346142122
34,35,4.830431745172515,1,2.313185879409497,99.8304356510236
35,36,4.2871532538737736,1,2.207194187064977,99.8304356510236
36,37,4.078016511140235,1,2.127493402782477,99.86721915715884
37,38,3.887218511083253,1,2.0749115866584376,99.79365214488837
38,39,3.935765537493404,1,1.9557744402829078,99.77526039182078
39,40,3.405750141676195,1,1.941800926155457,99.90400266329408
40,41,3.612781722615557,1,1.7823993575904566,99.97756967556455
41,42,3.1418570768202834,1,1.8892191100314175,99.8304356510236
42,43,3.270025810936025,1,1.7700819636558878,99.81204389795596
